TIME,NS1_FLOW [m^3 s^-1],NS1_SALT_FLUX [psu m^3 s^-1],NS1_TEMP_FLUX [degrees celsius m^3 s^-1],NS1_SED_1_FLUX [10^-3 kg s^-1],NS1_SED_2_FLUX [10^-3 kg s^-1],NS1_SED_1_BEDLOAD_FLUX [10^-3 kg s^-1],NS1_SED_2_BEDLOAD_FLUX [10^-3 kg s^-1],NS2_FLOW [m^3 s^-1],NS2_SALT_FLUX [psu m^3 s^-1],NS2_TEMP_FLUX [degrees celsius m^3 s^-1],NS2_SED_1_FLUX [10^-3 kg s^-1],NS2_SED_2_FLUX [10^-3 kg s^-1],NS2_SED_1_BEDLOAD_FLUX [10^-3 kg s^-1],NS2_SED_2_BEDLOAD_FLUX [10^-3 kg s^-1],NS3_FLOW [m^3 s^-1],NS3_SALT_FLUX [psu m^3 s^-1],NS3_TEMP_FLUX [degrees celsius m^3 s^-1],NS3_SED_1_FLUX [10^-3 kg s^-1],NS3_SED_2_FLUX [10^-3 kg s^-1],NS3_SED_1_BEDLOAD_FLUX [10^-3 kg s^-1],NS3_SED_2_BEDLOAD_FLUX [10^-3 kg s^-1]
02/01/2013 00:00:00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
02/01/2013 01:00:01,  0.1669792E+06,  0.5914792E+07,  0.3673114E+07,  0.2120270E-09,  0.1704747E-09,  0.0000000E+00,  0.0000000E+00, -0.4808570E+02, -0.2110473E+04, -0.1445890E+04, -0.1439326E-01, -0.1681663E+04,  0.0000000E+00,  0.0000000E+00, -0.1401538E+04, -0.2352806E+05, -0.2941009E+05,  0.2203623E+03,  0.1404683E+04,  0.0000000E+00,  0.0000000E+00
02/01/2013 02:00:05, -0.4804101E+05, -0.1725155E+07, -0.1169082E+07,  0.1166788E+04,  0.1888882E+03,  0.0000000E+00,  0.0000000E+00, -0.1409311E+02, -0.4479967E+04, -0.2298222E+04, -0.2088687E+01, -0.9036833E+03,  0.0000000E+00,  0.0000000E+00,  0.2527183E+03,  0.4015640E+05,  0.2328370E+05,  0.9094471E+04,  0.7403018E+04,  0.0000000E+00,  0.0000000E+00
02/01/2013 03:00:01,  0.9512215E+05,  0.3355776E+07,  0.2011818E+07,  0.1394337E-03,  0.8413230E+02,  0.0000000E+00,  0.0000000E+00,  0.5610662E+02,  0.4585525E+03,  0.7256222E+03, -0.1093942E+00, -0.1903849E+03,  0.0000000E+00,  0.0000000E+00, -0.1215849E+03,  0.4985821E+04,  0.7716827E+03,  0.6706376E+03,  0.1223938E+04,  0.0000000E+00,  0.0000000E+00
02/01/2013 04:00:07,  0.7399759E+05,  0.2609320E+07,  0.1551984E+07,  0.5295142E+02,  0.1159651E+04,  0.0000000E+00,  0.0000000E+00,  0.1327315E+02, -0.5172897E+03, -0.1287149E+03, -0.2455166E-03, -0.2054011E+03,  0.0000000E+00,  0.0000000E+00, -0.1177802E+03, -0.1778430E+02, -0.1646150E+04,  0.4411542E+02,  0.2932329E+03,  0.0000000E+00,  0.0000000E+00
02/01/2013 05:00:09,  0.3863996E+05,  0.1355702E+07,  0.7727486E+06,  0.6255576E+02,  0.2616739E+04,  0.0000000E+00,  0.0000000E+00,  0.8972000E+01, -0.2722192E+03, -0.4249408E+02, -0.1081097E-17, -0.1374713E+03,  0.0000000E+00,  0.0000000E+00,  0.8639638E+02,  0.9016707E+04,  0.5233908E+04,  0.2867935E+03,  0.7549234E+03,  0.0000000E+00,  0.0000000E+00
02/01/2013 06:00:07,  0.3704877E+05,  0.1302063E+07,  0.7454678E+06,  0.2865583E+03,  0.4826722E+04,  0.0000000E+00,  0.0000000E+00,  0.6686216E+01, -0.1495535E+03, -0.2192383E+01,  0.9231042E-15, -0.7194962E+02,  0.0000000E+00,  0.0000000E+00,  0.8141879E+02,  0.1081538E+05,  0.5899524E+04,  0.5007829E+03,  0.9817602E+03,  0.0000000E+00,  0.0000000E+00
02/01/2013 07:00:00,  0.7132694E+04,  0.2418646E+06,  0.8472850E+05,  0.1226603E+03,  0.5592227E+04,  0.0000000E+00,  0.0000000E+00, -0.8877584E+01, -0.6458635E+03, -0.3822194E+03,  0.1089487E-13, -0.4333726E+02,  0.0000000E+00,  0.0000000E+00,  0.1665193E+03,  0.1535539E+05,  0.9065011E+04,  0.7883560E+03,  0.1213385E+04,  0.0000000E+00,  0.0000000E+00
02/01/2013 08:00:04,  0.3225213E+05,  0.1135665E+07,  0.6509148E+06,  0.2084044E+03,  0.6412042E+04,  0.0000000E+00,  0.0000000E+00, -0.6429084E+01, -0.4711089E+03, -0.2743626E+03,  0.7611984E-13, -0.1839070E+02,  0.0000000E+00,  0.0000000E+00,  0.2151894E+03,  0.1747058E+05,  0.1060270E+05,  0.8547432E+03,  0.1167992E+04,  0.0000000E+00,  0.0000000E+00
02/01/2013 09:00:09, -0.2752072E+05, -0.9857404E+06, -0.6863977E+06,  0.1753007E+02,  0.5947395E+04,  0.0000000E+00,  0.0000000E+00,  0.9920345E+01,  0.1825384E+03,  0.1885857E+03,  0.1686411E-12, -0.6191780E+01,  0.0000000E+00,  0.0000000E+00,  0.8603879E+02,  0.1076461E+05,  0.5770687E+04,  0.5001635E+03,  0.8464603E+03,  0.0000000E+00,  0.0000000E+00
