DATE,Q,S,TEMP,DO
15/02/2013 00:00:00,5.40,36.35,24.10,212.448
15/02/2013 00:15:03,5.40,36.35,24.10,212.448
15/02/2013 00:30:04,5.40,36.35,24.10,212.448
15/02/2013 00:45:00,5.40,36.35,24.10,212.448
15/02/2013 01:00:06,5.40,36.35,24.10,212.454
15/02/2013 01:15:09,5.40,36.35,24.09,212.474
15/02/2013 01:30:05,5.40,36.35,24.09,212.502
15/02/2013 01:45:03,5.40,36.35,24.07,212.557
15/02/2013 02:00:05,5.40,36.35,24.04,212.682
15/02/2013 02:15:01,5.40,36.35,23.97,212.925
15/02/2013 02:30:09,5.40,36.36,23.93,213.063
15/02/2013 02:45:07,5.40,36.36,23.93,213.080
15/02/2013 03:00:02,5.40,36.36,23.93,213.075
15/02/2013 03:15:04,5.40,36.36,23.93,213.080
15/02/2013 03:30:04,5.40,36.36,23.92,213.096
15/02/2013 03:45:03,5.40,36.36,23.91,213.135
15/02/2013 04:00:03,5.40,36.36,23.89,213.199
15/02/2013 04:15:06,5.40,36.36,23.87,213.268
15/02/2013 04:30:02,5.40,36.36,23.86,213.338
15/02/2013 04:45:08,5.40,36.36,23.84,213.402
15/02/2013 05:00:04,5.40,36.36,23.82,213.456
15/02/2013 05:15:01,5.40,36.36,23.81,213.512
15/02/2013 05:30:07,5.40,36.36,23.79,213.566
15/02/2013 05:45:02,5.40,36.36,23.78,213.610
15/02/2013 06:00:06,5.40,36.36,23.77,213.653
15/02/2013 06:15:09,5.40,36.36,23.75,213.713
15/02/2013 06:30:02,5.40,36.36,23.74,213.756
15/02/2013 06:45:05,5.40,36.36,23.73,213.785
15/02/2013 07:00:06,5.40,36.36,23.73,213.799
15/02/2013 07:15:06,5.40,36.36,23.73,213.812
15/02/2013 07:30:06,5.40,36.36,23.72,213.827
15/02/2013 07:45:06,5.40,36.36,23.72,213.836
15/02/2013 08:00:07,5.40,36.37,23.72,213.833
15/02/2013 08:15:08,5.40,36.37,23.72,213.814
15/02/2013 08:30:09,5.40,36.37,23.74,213.774
15/02/2013 08:45:09,5.40,36.37,23.75,213.707
15/02/2013 09:00:08,5.40,36.37,23.78,213.621
15/02/2013 09:15:05,5.40,36.37,23.80,213.537
15/02/2013 09:30:01,5.40,36.37,23.82,213.462
15/02/2013 09:45:05,5.40,36.37,23.84,213.394
15/02/2013 10:00:09,5.40,36.37,23.86,213.331
15/02/2013 10:15:04,5.40,36.36,23.87,213.269
15/02/2013 10:30:01,5.40,36.36,23.89,213.209
15/02/2013 10:45:07,5.40,36.36,23.90,213.150
15/02/2013 11:00:04,5.40,36.36,23.92,213.092
15/02/2013 11:15:09,5.40,36.36,23.94,213.037
15/02/2013 11:30:04,5.40,36.36,23.95,212.991
15/02/2013 11:45:08,5.40,36.36,23.96,212.952
15/02/2013 12:00:01,5.40,36.36,23.97,212.919
15/02/2013 12:15:03,5.40,36.36,23.97,212.895
15/02/2013 12:30:05,5.40,36.36,23.98,212.871
15/02/2013 12:45:08,5.40,36.36,24.00,212.801
15/02/2013 13:00:01,5.40,36.37,24.06,212.585
15/02/2013 13:15:04,5.40,36.37,24.16,212.201
15/02/2013 13:30:08,5.40,36.37,24.28,211.756
15/02/2013 13:45:02,5.40,36.38,24.38,211.399
15/02/2013 14:00:05,5.40,36.38,24.45,211.145
15/02/2013 14:15:08,5.40,36.38,24.49,210.978
15/02/2013 14:30:02,5.40,36.38,24.52,210.885
15/02/2013 14:45:05,5.40,36.38,24.53,210.843
15/02/2013 15:00:08,5.40,36.38,24.53,210.830
15/02/2013 15:15:02,5.40,36.39,24.53,210.826
15/02/2013 15:30:05,5.40,36.39,24.53,210.827
15/02/2013 15:45:09,5.40,36.39,24.53,210.830
15/02/2013 16:00:04,5.40,36.39,24.53,210.837
15/02/2013 16:15:08,5.40,36.39,24.52,210.853
15/02/2013 16:30:04,5.40,36.39,24.52,210.878
15/02/2013 16:45:09,5.40,36.39,24.51,210.915
15/02/2013 17:00:05,5.40,36.39,24.49,210.963
15/02/2013 17:15:01,5.40,36.39,24.48,211.023
15/02/2013 17:30:06,5.40,36.39,24.46,211.095
15/02/2013 17:45:02,5.40,36.39,24.43,211.173
