Date,Q,S,T
01/05/2006 00:00:03,9.82,35.00,20.00
01/05/2006 00:15:07,9.82,35.19,19.62
01/05/2006 00:30:00,9.82,35.27,19.45
01/05/2006 00:45:03,9.82,35.31,19.38
01/05/2006 01:00:06,9.82,35.33,19.34
01/05/2006 01:15:08,9.82,35.34,19.32
01/05/2006 01:30:01,9.82,35.35,19.30
01/05/2006 01:45:03,9.82,35.36,19.29
01/05/2006 02:00:05,9.82,35.36,19.28
01/05/2006 02:15:07,9.82,35.36,19.28
01/05/2006 02:30:08,9.82,35.36,19.27
01/05/2006 02:45:09,9.82,35.37,19.27
01/05/2006 03:00:00,9.82,35.37,19.27
01/05/2006 03:15:01,9.82,35.37,19.26
01/05/2006 03:30:00,9.82,35.37,19.26
01/05/2006 03:45:09,9.82,35.37,19.26
01/05/2006 04:00:08,9.82,35.37,19.26
01/05/2006 04:15:07,9.82,35.37,19.26
01/05/2006 04:30:05,9.82,35.37,19.26
01/05/2006 04:45:03,9.82,35.37,19.26
01/05/2006 05:00:09,9.82,35.37,19.25
01/05/2006 05:15:05,9.82,35.37,19.24
01/05/2006 05:30:00,9.82,35.37,19.22
01/05/2006 05:45:04,9.82,35.37,19.21
01/05/2006 06:00:07,9.82,35.37,19.20
01/05/2006 06:15:09,9.82,35.37,19.19
01/05/2006 06:30:01,9.82,35.37,19.19
01/05/2006 06:45:02,9.82,35.37,19.18
01/05/2006 07:00:02,9.82,35.37,19.17
01/05/2006 07:15:01,9.82,35.37,19.17
01/05/2006 07:30:09,9.82,35.37,19.16
01/05/2006 07:45:07,9.82,35.37,19.16
01/05/2006 08:00:04,9.82,35.37,19.15
01/05/2006 08:15:01,9.82,35.37,19.15
01/05/2006 08:30:07,9.82,35.37,19.15
01/05/2006 08:45:03,9.82,35.37,19.15
01/05/2006 09:00:07,9.82,35.37,19.15
01/05/2006 09:15:03,9.82,35.37,19.16
01/05/2006 09:30:07,9.82,35.37,19.16
01/05/2006 09:45:01,9.82,35.37,19.16
01/05/2006 10:00:05,9.82,35.37,19.16
01/05/2006 10:15:09,9.82,35.37,19.17
01/05/2006 10:30:03,9.82,35.37,19.17
01/05/2006 10:45:06,9.82,35.37,19.17
01/05/2006 11:00:01,9.82,35.37,19.18
01/05/2006 11:15:04,9.82,35.37,19.18
01/05/2006 11:30:08,9.82,35.37,19.18
01/05/2006 11:45:02,9.82,35.37,19.18
01/05/2006 12:00:07,9.82,35.37,19.18
01/05/2006 12:15:02,9.82,35.37,19.19
01/05/2006 12:30:06,9.82,35.37,19.19
01/05/2006 12:45:02,9.82,35.37,19.19
01/05/2006 13:00:08,9.82,35.37,19.19
01/05/2006 13:15:04,9.82,35.37,19.19
01/05/2006 13:30:02,9.82,35.37,19.19
01/05/2006 13:45:09,9.82,35.37,19.20
01/05/2006 14:00:08,9.82,35.37,19.20
01/05/2006 14:15:07,9.82,35.37,19.20
01/05/2006 14:30:07,9.82,35.37,19.20
01/05/2006 14:45:08,9.82,35.37,19.20
01/05/2006 15:00:00,9.82,35.37,19.20
01/05/2006 15:15:03,9.82,35.37,19.20
01/05/2006 15:30:06,9.82,35.37,19.20
01/05/2006 15:45:01,9.82,35.37,19.20
01/05/2006 16:00:06,9.82,35.37,19.20
01/05/2006 16:15:02,9.82,35.37,19.20
01/05/2006 16:30:09,9.82,35.37,19.20
01/05/2006 16:45:07,9.82,35.37,19.20
01/05/2006 17:00:05,9.82,35.37,19.20
01/05/2006 17:15:04,9.82,35.37,19.20
01/05/2006 17:30:03,9.82,35.37,19.20
01/05/2006 17:45:03,9.82,35.37,19.20
01/05/2006 18:00:03,9.82,35.37,19.20
01/05/2006 18:15:03,9.82,35.37,19.20
01/05/2006 18:30:03,9.82,35.37,19.20
01/05/2006 18:45:04,9.82,35.37,19.20
01/05/2006 19:00:05,9.82,35.37,19.20
01/05/2006 19:15:07,9.82,35.37,19.20
01/05/2006 19:30:09,9.82,35.37,19.20
01/05/2006 19:45:01,9.82,35.37,19.20
01/05/2006 20:00:03,9.82,35.37,19.20
01/05/2006 20:15:05,9.82,35.37,19.20
01/05/2006 20:30:08,9.82,35.37,19.20
01/05/2006 20:45:01,9.82,35.37,19.20
01/05/2006 21:00:04,9.82,35.37,19.19
01/05/2006 21:15:07,9.82,35.37,19.19
