Date,Q,Salt,Temp,Ones,Zeros,DO
01/01/2013 08:00:00,2.5,61.4,27.44,1,0,178.75
01/01/2013 11:00:00,2.5,61.4,27.64,1,0,178.2
01/01/2013 14:00:00,2.5,61.4,27.98,1,0,177.3
01/01/2013 17:00:00,2.5,61.4,28.13,1,0,176.88
01/01/2013 20:00:00,2.5,61.4,28.01,1,0,177.2
01/01/2013 23:00:00,2.5,61.4,27.82,1,0,177.73
02/01/2013 02:00:00,2.5,61.4,27.64,1,0,178.21
02/01/2013 05:00:00,2.5,61.4,27.46,1,0,178.71
02/01/2013 08:00:00,2.5,61.4,27.35,1,0,179.01
02/01/2013 11:00:00,2.5,61.4,27.49,1,0,178.62
02/01/2013 14:00:00,2.5,61.4,27.79,1,0,177.8
02/01/2013 17:00:00,2.5,61.4,28,1,0,177.24
02/01/2013 20:00:00,2.5,61.4,27.89,1,0,177.54
02/01/2013 23:00:00,2.5,61.4,27.69,1,0,178.09
03/01/2013 02:00:00,2.5,61.4,27.48,1,0,178.66
03/01/2013 05:00:00,2.5,61.4,27.28,1,0,179.2
03/01/2013 08:00:00,2.5,61.4,27.15,1,0,179.57
03/01/2013 11:00:00,2.5,61.4,27.26,1,0,179.26
03/01/2013 14:00:00,2.5,61.4,27.48,1,0,178.66
03/01/2013 17:00:00,2.5,61.4,27.57,1,0,178.41
03/01/2013 20:00:00,2.5,61.4,27.39,1,0,178.9
03/01/2013 23:00:00,2.5,61.4,27.11,1,0,179.69
04/01/2013 02:00:00,2.5,61.4,26.85,1,0,180.4
04/01/2013 05:00:00,2.5,61.4,26.63,1,0,181.03
04/01/2013 08:00:00,2.5,61.4,26.48,1,0,181.44
04/01/2013 11:00:00,2.5,61.4,26.61,1,0,181.07
04/01/2013 14:00:00,2.5,61.4,26.92,1,0,180.19
04/01/2013 17:00:00,2.5,61.4,27.06,1,0,179.8
04/01/2013 20:00:00,2.5,61.4,26.89,1,0,180.3
04/01/2013 23:00:00,2.5,61.4,26.6,1,0,181.1
05/01/2013 02:00:00,2.5,61.4,26.38,1,0,181.73
05/01/2013 05:00:00,2.5,61.4,26.18,1,0,182.29
05/01/2013 08:00:00,2.5,61.4,26.11,1,0,182.49
05/01/2013 11:00:00,2.5,61.4,26.42,1,0,181.62
05/01/2013 14:00:00,2.5,61.4,26.83,1,0,180.46
05/01/2013 17:00:00,2.5,61.4,27.05,1,0,179.84
05/01/2013 20:00:00,2.5,61.4,26.95,1,0,180.13
05/01/2013 23:00:00,2.5,61.4,26.7,1,0,180.83
06/01/2013 02:00:00,2.5,61.4,26.51,1,0,181.36
06/01/2013 05:00:00,2.5,61.4,26.4,1,0,181.68
06/01/2013 08:00:00,2.5,61.4,26.36,1,0,181.78
06/01/2013 11:00:00,2.5,61.4,26.59,1,0,181.14
06/01/2013 14:00:00,2.5,61.4,26.78,1,0,180.6
06/01/2013 17:00:00,2.5,61.4,27.05,1,0,179.84
06/01/2013 20:00:00,2.5,61.4,27.17,1,0,179.52
06/01/2013 23:00:00,2.5,61.4,27.17,1,0,179.5
07/01/2013 02:00:00,2.5,61.4,27.15,1,0,179.55
07/01/2013 05:00:00,2.5,61.4,27.11,1,0,179.68
07/01/2013 08:00:00,2.5,61.4,27.12,1,0,179.64
07/01/2013 11:00:00,2.5,61.4,27.33,1,0,179.06
07/01/2013 14:00:00,2.5,61.4,27.63,1,0,178.24
07/01/2013 17:00:00,2.5,61.4,27.86,1,0,177.6
07/01/2013 20:00:00,2.5,61.4,27.95,1,0,177.36
07/01/2013 23:00:00,2.5,61.4,27.95,1,0,177.36
08/01/2013 02:00:00,2.5,61.4,27.91,1,0,177.47
08/01/2013 05:00:00,2.5,61.4,27.84,1,0,177.67
08/01/2013 08:00:00,2.5,61.4,27.81,1,0,177.75
08/01/2013 11:00:00,2.5,61.4,28.04,1,0,177.13
08/01/2013 14:00:00,2.5,61.4,28.26,1,0,176.54
08/01/2013 17:00:00,2.5,61.4,28.44,1,0,176.04
08/01/2013 20:00:00,2.5,61.4,28.42,1,0,176.1
08/01/2013 23:00:00,2.5,61.4,28.23,1,0,176.6
09/01/2013 02:00:00,2.5,61.4,27.98,1,0,177.28
09/01/2013 05:00:00,2.5,61.4,27.73,1,0,177.96
09/01/2013 08:00:00,2.5,61.4,27.55,1,0,178.46
09/01/2013 11:00:00,2.5,61.4,27.59,1,0,178.35
09/01/2013 14:00:00,2.5,61.4,27.77,1,0,177.86
09/01/2013 17:00:00,2.5,61.4,27.75,1,0,177.9
09/01/2013 20:00:00,2.5,61.4,27.45,1,0,178.74
09/01/2013 23:00:00,2.5,61.4,27.11,1,0,179.68
10/01/2013 02:00:00,2.5,61.4,26.86,1,0,180.38
10/01/2013 05:00:00,2.5,61.4,26.66,1,0,180.95
10/01/2013 08:00:00,2.5,61.4,26.58,1,0,181.16
10/01/2013 11:00:00,2.5,61.4,26.75,1,0,180.67
10/01/2013 14:00:00,2.5,61.4,27.06,1,0,179.83
10/01/2013 17:00:00,2.5,61.4,27.06,1,0,179.82
10/01/2013 20:00:00,2.5,61.4,26.71,1,0,180.8
10/01/2013 23:00:00,2.5,61.4,26.38,1,0,181.72
11/01/2013 02:00:00,2.5,61.4,26.16,1,0,182.36
11/01/2013 05:00:00,2.5,61.4,25.99,1,0,182.86
11/01/2013 08:00:00,2.5,61.4,25.91,1,0,183.06
11/01/2013 11:00:00,2.5,61.4,26.14,1,0,182.4
11/01/2013 14:00:00,2.5,61.4,26.54,1,0,181.27
11/01/2013 17:00:00,2.5,61.4,26.78,1,0,180.6
11/01/2013 20:00:00,2.5,61.4,26.63,1,0,181.01
11/01/2013 23:00:00,2.5,61.4,26.41,1,0,181.64
12/01/2013 02:00:00,2.5,61.4,26.16,1,0,182.35
12/01/2013 05:00:00,2.5,61.4,25.91,1,0,183.07
12/01/2013 08:00:00,2.5,61.4,25.79,1,0,183.41
12/01/2013 11:00:00,2.5,61.4,25.98,1,0,182.88
12/01/2013 14:00:00,2.5,61.4,26.38,1,0,181.73
12/01/2013 17:00:00,2.5,61.4,26.58,1,0,181.16
12/01/2013 20:00:00,2.5,61.4,26.52,1,0,181.34
12/01/2013 23:00:00,2.5,61.4,26.32,1,0,181.91
13/01/2013 02:00:00,2.5,61.4,26.12,1,0,182.47
13/01/2013 05:00:00,2.5,61.4,25.96,1,0,182.92
13/01/2013 08:00:00,2.5,61.4,25.89,1,0,183.13
13/01/2013 11:00:00,2.5,61.4,26.06,1,0,182.64
13/01/2013 14:00:00,2.5,61.4,26.3,1,0,181.96
13/01/2013 17:00:00,2.5,61.4,26.37,1,0,181.74
13/01/2013 20:00:00,2.5,61.4,26.37,1,0,181.77
13/01/2013 23:00:00,2.5,61.4,26.31,1,0,181.91
14/01/2013 02:00:00,2.5,61.4,26.27,1,0,182.05
