DATE,Q,S,TEMP,DO
15/02/2013 00:00:00,3.00,36.35,24.10,212.448
15/02/2013 00:15:03,3.00,36.35,24.10,212.447
15/02/2013 00:30:04,3.00,36.35,24.10,212.447
15/02/2013 00:45:00,3.00,36.35,24.10,212.447
15/02/2013 01:00:06,3.00,36.35,24.10,212.447
15/02/2013 01:15:09,3.00,36.35,24.10,212.448
15/02/2013 01:30:05,3.00,36.35,24.10,212.448
15/02/2013 01:45:03,3.00,36.35,24.10,212.448
15/02/2013 02:00:05,3.00,36.35,24.10,212.448
15/02/2013 02:15:01,3.00,36.35,24.10,212.448
15/02/2013 02:30:09,3.00,36.35,24.10,212.448
15/02/2013 02:45:07,3.00,36.35,24.10,212.448
15/02/2013 03:00:02,3.00,36.35,24.10,212.448
15/02/2013 03:15:04,3.00,36.35,24.10,212.450
15/02/2013 03:30:04,3.00,36.35,24.08,212.508
15/02/2013 03:45:03,3.00,36.35,24.06,212.584
15/02/2013 04:00:03,3.00,36.35,24.05,212.627
15/02/2013 04:15:06,3.00,36.35,24.04,212.666
15/02/2013 04:30:02,3.00,36.35,24.03,212.701
15/02/2013 04:45:08,3.00,36.35,24.02,212.732
15/02/2013 05:00:04,3.00,36.35,24.01,212.761
15/02/2013 05:15:01,3.00,36.35,24.01,212.791
15/02/2013 05:30:07,3.00,36.35,24.00,212.823
15/02/2013 05:45:02,3.00,36.35,23.99,212.854
15/02/2013 06:00:06,3.00,36.35,23.98,212.886
15/02/2013 06:15:09,3.00,36.35,23.97,212.918
15/02/2013 06:30:02,3.00,36.35,23.96,212.950
15/02/2013 06:45:05,3.00,36.36,23.95,212.980
15/02/2013 07:00:06,3.00,36.36,23.95,213.004
15/02/2013 07:15:06,3.00,36.36,23.94,213.024
15/02/2013 07:30:06,3.00,36.36,23.94,213.040
15/02/2013 07:45:06,3.00,36.36,23.93,213.053
15/02/2013 08:00:07,3.00,36.36,23.93,213.060
15/02/2013 08:15:08,3.00,36.36,23.93,213.060
15/02/2013 08:30:09,3.00,36.36,23.93,213.054
15/02/2013 08:45:09,3.00,36.36,23.94,213.042
15/02/2013 09:00:08,3.00,36.36,23.94,213.025
15/02/2013 09:15:05,3.00,36.36,23.95,213.006
15/02/2013 09:30:01,3.00,36.36,23.95,212.988
15/02/2013 09:45:05,3.00,36.36,23.95,212.972
15/02/2013 10:00:09,3.00,36.36,23.96,212.957
15/02/2013 10:15:04,3.00,36.36,23.96,212.943
15/02/2013 10:30:01,3.00,36.36,23.97,212.930
15/02/2013 10:45:07,3.00,36.36,23.97,212.918
15/02/2013 11:00:04,3.00,36.36,23.97,212.907
15/02/2013 11:15:09,3.00,36.36,23.98,212.896
15/02/2013 11:30:04,3.00,36.36,23.98,212.887
15/02/2013 11:45:08,3.00,36.36,23.98,212.877
15/02/2013 12:00:01,3.00,36.36,23.98,212.869
15/02/2013 12:15:03,3.00,36.36,23.98,212.862
15/02/2013 12:30:05,3.00,36.36,23.99,212.855
15/02/2013 12:45:08,3.00,36.36,23.99,212.848
15/02/2013 13:00:01,3.00,36.36,23.99,212.841
15/02/2013 13:15:04,3.00,36.36,23.99,212.835
15/02/2013 13:30:08,3.00,36.36,23.99,212.830
15/02/2013 13:45:02,3.00,36.36,24.00,212.825
15/02/2013 14:00:05,3.00,36.36,24.00,212.822
15/02/2013 14:15:08,3.00,36.36,24.00,212.819
15/02/2013 14:30:02,3.00,36.36,24.00,212.815
15/02/2013 14:45:05,3.00,36.36,24.00,212.813
15/02/2013 15:00:08,3.00,36.36,24.00,212.810
15/02/2013 15:15:02,3.00,36.36,24.00,212.808
15/02/2013 15:30:05,3.00,36.36,24.00,212.804
15/02/2013 15:45:09,3.00,36.36,24.00,212.801
15/02/2013 16:00:04,3.00,36.36,24.00,212.798
15/02/2013 16:15:08,3.00,36.36,24.00,212.793
15/02/2013 16:30:04,3.00,36.36,24.01,212.780
15/02/2013 16:45:09,3.00,36.36,24.02,212.743
15/02/2013 17:00:05,3.00,36.36,24.04,212.676
15/02/2013 17:15:01,3.00,36.36,24.06,212.581
15/02/2013 17:30:06,3.00,36.36,24.09,212.470
15/02/2013 17:45:02,3.00,36.37,24.12,212.351
15/02/2013 18:00:08,3.00,36.37,24.14,212.268
15/02/2013 18:15:04,3.00,36.37,24.14,212.271
15/02/2013 18:30:00,3.00,36.37,24.13,212.293
15/02/2013 18:45:06,3.00,36.37,24.13,212.319
15/02/2013 19:00:03,3.00,36.37,24.12,212.344
15/02/2013 19:15:00,3.00,36.37,24.11,212.368
15/02/2013 19:30:07,3.00,36.37,24.11,212.389
15/02/2013 19:45:04,3.00,36.37,24.10,212.406
15/02/2013 20:00:01,3.00,36.37,24.10,212.419
15/02/2013 20:15:08,3.00,36.37,24.10,212.429
15/02/2013 20:30:04,3.00,36.38,24.09,212.439
15/02/2013 20:45:01,3.00,36.38,24.09,212.447
15/02/2013 21:00:07,3.00,36.38,24.09,212.452
15/02/2013 21:15:04,3.00,36.38,24.09,212.455
15/02/2013 21:30:01,3.00,36.38,24.09,212.456
15/02/2013 21:45:08,3.00,36.38,24.09,212.456
15/02/2013 22:00:06,3.00,36.38,24.09,212.457
15/02/2013 22:15:04,3.00,36.38,24.09,212.456
15/02/2013 22:30:02,3.00,36.38,24.09,212.456
15/02/2013 22:45:01,3.00,36.38,24.09,212.458
15/02/2013 23:00:08,3.00,36.38,24.09,212.463
15/02/2013 23:15:07,3.00,36.38,24.08,212.469
15/02/2013 23:30:05,3.00,36.38,24.08,212.477
15/02/2013 23:45:04,3.00,36.38,24.08,212.487
16/02/2013 00:00:03,3.00,36.38,24.08,212.497
16/02/2013 00:15:03,3.00,36.38,24.07,212.509
16/02/2013 00:30:03,3.00,36.38,24.07,212.523
16/02/2013 00:45:04,3.00,36.38,24.06,212.538
16/02/2013 01:00:05,3.00,36.38,24.06,212.554
16/02/2013 01:15:06,3.00,36.38,24.06,212.571
16/02/2013 01:30:08,3.00,36.38,24.05,212.589
16/02/2013 01:45:09,3.00,36.38,24.05,212.608
16/02/2013 02:00:01,3.00,36.38,24.04,212.627
16/02/2013 02:15:03,3.00,36.38,24.03,212.648
16/02/2013 02:30:05,3.00,36.38,24.03,212.669
16/02/2013 02:45:07,3.00,36.39,24.02,212.691
16/02/2013 03:00:01,3.00,36.39,24.02,212.712
16/02/2013 03:15:04,3.00,36.39,24.01,212.733
16/02/2013 03:30:07,3.00,36.39,24.01,212.753
16/02/2013 03:45:02,3.00,36.39,24.00,212.771
16/02/2013 04:00:06,3.00,36.39,24.00,212.789
16/02/2013 04:15:01,3.00,36.39,23.99,212.808
16/02/2013 04:30:05,3.00,36.39,23.98,212.829
16/02/2013 04:45:09,3.00,36.39,23.98,212.851
16/02/2013 05:00:03,3.00,36.39,23.97,212.873
16/02/2013 05:15:07,3.00,36.39,23.97,212.896
16/02/2013 05:30:02,3.00,36.39,23.96,212.920
16/02/2013 05:45:06,3.00,36.39,23.95,212.943
16/02/2013 06:00:00,3.00,36.39,23.95,212.967
16/02/2013 06:15:04,3.00,36.39,23.94,212.989
16/02/2013 06:30:08,3.00,36.39,23.93,213.011
16/02/2013 06:45:02,3.00,36.39,23.93,213.028
16/02/2013 07:00:06,3.00,36.39,23.93,213.040
16/02/2013 07:15:08,3.00,36.39,23.92,213.048
16/02/2013 07:30:00,3.00,36.39,23.92,213.051
16/02/2013 07:45:02,3.00,36.39,23.92,213.049
16/02/2013 08:00:02,3.00,36.39,23.93,213.044
16/02/2013 08:15:03,3.00,36.39,23.93,213.037
16/02/2013 08:30:02,3.00,36.39,23.93,213.029
16/02/2013 08:45:02,3.00,36.39,23.93,213.020
16/02/2013 09:00:00,3.00,36.39,23.93,213.011
16/02/2013 09:15:08,3.00,36.39,23.94,213.002
16/02/2013 09:30:06,3.00,36.39,23.94,212.993
16/02/2013 09:45:04,3.00,36.39,23.94,212.985
16/02/2013 10:00:01,3.00,36.39,23.94,212.976
16/02/2013 10:15:07,3.00,36.39,23.95,212.968
