DATE,Q,S,TEMP,DO
15/02/2013 00:00:00,14.82,36.35,24.10,212.448
15/02/2013 00:15:03,14.82,36.35,24.10,212.448
15/02/2013 00:30:04,14.82,36.35,24.10,212.448
15/02/2013 00:45:00,14.82,36.35,24.10,212.448
15/02/2013 01:00:06,14.82,36.35,24.10,212.448
15/02/2013 01:15:09,14.82,36.35,24.10,212.448
15/02/2013 01:30:05,14.82,36.35,24.10,212.449
15/02/2013 01:45:03,14.82,36.35,24.10,212.449
15/02/2013 02:00:05,14.82,36.35,24.10,212.448
15/02/2013 02:15:01,14.82,36.35,24.10,212.448
15/02/2013 02:30:09,14.82,36.35,24.10,212.448
15/02/2013 02:45:07,14.82,36.35,24.10,212.449
15/02/2013 03:00:02,14.82,36.35,24.10,212.449
15/02/2013 03:15:04,14.82,36.35,24.10,212.451
15/02/2013 03:30:04,14.82,36.35,24.07,212.552
15/02/2013 03:45:03,14.82,36.35,24.06,212.599
15/02/2013 04:00:03,14.82,36.35,24.05,212.627
15/02/2013 04:15:06,14.82,36.35,24.04,212.655
15/02/2013 04:30:02,14.82,36.35,24.04,212.682
15/02/2013 04:45:08,14.82,36.35,24.03,212.712
15/02/2013 05:00:04,14.82,36.35,24.02,212.743
15/02/2013 05:15:01,14.82,36.35,24.01,212.778
15/02/2013 05:30:07,14.82,36.35,24.00,212.814
15/02/2013 05:45:02,14.82,36.35,23.99,212.852
15/02/2013 06:00:06,14.82,36.35,23.98,212.890
15/02/2013 06:15:09,14.82,36.35,23.97,212.926
15/02/2013 06:30:02,14.82,36.35,23.96,212.959
15/02/2013 06:45:05,14.82,36.36,23.95,212.989
15/02/2013 07:00:06,14.82,36.36,23.94,213.012
15/02/2013 07:15:06,14.82,36.36,23.94,213.029
15/02/2013 07:30:06,14.82,36.36,23.94,213.041
15/02/2013 07:45:06,14.82,36.36,23.93,213.047
15/02/2013 08:00:07,14.82,36.36,23.93,213.047
15/02/2013 08:15:08,14.82,36.36,23.94,213.041
15/02/2013 08:30:09,14.82,36.36,23.94,213.031
15/02/2013 08:45:09,14.82,36.36,23.94,213.017
15/02/2013 09:00:08,14.82,36.36,23.95,213.000
