Date,Q,Salt,Temp,Ones,Zeros,DO
01/01/2013 08:00:00,9.2,35.82,33.94,1,0,186.23
01/01/2013 11:00:00,9.2,35.81,34.14,1,0,185.68
01/01/2013 14:00:00,9.2,35.8,34.48,1,0,184.77
01/01/2013 17:00:00,9.2,35.8,34.63,1,0,184.35
01/01/2013 20:00:00,9.2,35.8,34.51,1,0,184.68
01/01/2013 23:00:00,9.2,35.8,34.32,1,0,185.22
02/01/2013 02:00:00,9.2,35.8,34.14,1,0,185.7
02/01/2013 05:00:00,9.2,35.8,33.96,1,0,186.2
02/01/2013 08:00:00,9.2,35.81,33.85,1,0,186.51
02/01/2013 11:00:00,9.2,35.81,33.99,1,0,186.11
02/01/2013 14:00:00,9.2,35.81,34.29,1,0,185.27
02/01/2013 17:00:00,9.2,35.82,34.5,1,0,184.69
02/01/2013 20:00:00,9.2,35.83,34.39,1,0,185
02/01/2013 23:00:00,9.2,35.83,34.19,1,0,185.55
03/01/2013 02:00:00,9.2,35.83,33.98,1,0,186.13
03/01/2013 05:00:00,9.2,35.84,33.78,1,0,186.67
03/01/2013 08:00:00,9.2,35.84,33.65,1,0,187.04
03/01/2013 11:00:00,9.2,35.85,33.76,1,0,186.72
03/01/2013 14:00:00,9.2,35.86,33.98,1,0,186.1
03/01/2013 17:00:00,9.2,35.86,34.07,1,0,185.85
03/01/2013 20:00:00,9.2,35.87,33.89,1,0,186.33
03/01/2013 23:00:00,9.2,35.86,33.61,1,0,187.14
04/01/2013 02:00:00,9.2,35.86,33.35,1,0,187.87
04/01/2013 05:00:00,9.2,35.86,33.13,1,0,188.51
04/01/2013 08:00:00,9.2,35.85,32.98,1,0,188.93
04/01/2013 11:00:00,9.2,35.84,33.11,1,0,188.57
04/01/2013 14:00:00,9.2,35.84,33.42,1,0,187.68
04/01/2013 17:00:00,9.2,35.84,33.56,1,0,187.28
04/01/2013 20:00:00,9.2,35.84,33.39,1,0,187.79
04/01/2013 23:00:00,9.2,35.84,33.1,1,0,188.6
05/01/2013 02:00:00,9.2,35.83,32.88,1,0,189.25
05/01/2013 05:00:00,9.2,35.83,32.68,1,0,189.81
05/01/2013 08:00:00,9.2,35.83,32.61,1,0,190.02
05/01/2013 11:00:00,9.2,35.82,32.92,1,0,189.14
05/01/2013 14:00:00,9.2,35.82,33.33,1,0,187.97
05/01/2013 17:00:00,9.2,35.82,33.55,1,0,187.34
05/01/2013 20:00:00,9.2,35.81,33.45,1,0,187.64
05/01/2013 23:00:00,9.2,35.8,33.2,1,0,188.36
06/01/2013 02:00:00,9.2,35.8,33.01,1,0,188.9
06/01/2013 05:00:00,9.2,35.8,32.9,1,0,189.23
06/01/2013 08:00:00,9.2,35.79,32.86,1,0,189.34
06/01/2013 11:00:00,9.2,35.8,33.09,1,0,188.68
06/01/2013 14:00:00,9.2,35.8,33.28,1,0,188.13
06/01/2013 17:00:00,9.2,35.8,33.55,1,0,187.36
06/01/2013 20:00:00,9.2,35.8,33.67,1,0,187.03
06/01/2013 23:00:00,9.2,35.81,33.67,1,0,187
07/01/2013 02:00:00,9.2,35.82,33.65,1,0,187.05
07/01/2013 05:00:00,9.2,35.83,33.61,1,0,187.16
07/01/2013 08:00:00,9.2,35.83,33.62,1,0,187.12
07/01/2013 11:00:00,9.2,35.83,33.83,1,0,186.53
07/01/2013 14:00:00,9.2,35.84,34.13,1,0,185.69
07/01/2013 17:00:00,9.2,35.85,34.36,1,0,185.03
07/01/2013 20:00:00,9.2,35.85,34.45,1,0,184.78
07/01/2013 23:00:00,9.2,35.86,34.45,1,0,184.77
08/01/2013 02:00:00,9.2,35.86,34.41,1,0,184.89
08/01/2013 05:00:00,9.2,35.87,34.34,1,0,185.08
08/01/2013 08:00:00,9.2,35.87,34.31,1,0,185.15
08/01/2013 11:00:00,9.2,35.88,34.54,1,0,184.52
08/01/2013 14:00:00,9.2,35.88,34.76,1,0,183.92
08/01/2013 17:00:00,9.2,35.89,34.94,1,0,183.4
08/01/2013 20:00:00,9.2,35.89,34.92,1,0,183.46
08/01/2013 23:00:00,9.2,35.89,34.73,1,0,183.97
09/01/2013 02:00:00,9.2,35.89,34.48,1,0,184.67
09/01/2013 05:00:00,9.2,35.88,34.23,1,0,185.37
09/01/2013 08:00:00,9.2,35.87,34.05,1,0,185.89
09/01/2013 11:00:00,9.2,35.86,34.09,1,0,185.79
09/01/2013 14:00:00,9.2,35.85,34.27,1,0,185.29
09/01/2013 17:00:00,9.2,35.83,34.25,1,0,185.35
