Date,Q,Salt,Temp,Ones,Zeros,DO
01/01/2013 08:00:00,1.78,0.65,27,1,0,253.11
01/01/2013 11:00:00,1.78,0.65,27,1,0,253.11
01/01/2013 14:00:00,1.78,0.65,27,1,0,253.11
01/01/2013 17:00:00,1.78,0.65,27,1,0,253.11
01/01/2013 20:00:00,1.78,0.65,27,1,0,253.11
01/01/2013 23:00:00,1.78,0.65,27,1,0,253.11
02/01/2013 02:00:00,1.78,0.65,27,1,0,253.11
02/01/2013 05:00:00,1.78,0.65,27,1,0,253.11
02/01/2013 08:00:00,1.78,0.65,27,1,0,253.11
02/01/2013 11:00:00,1.78,0.65,27,1,0,253.11
02/01/2013 14:00:00,1.78,0.65,27,1,0,253.11
02/01/2013 17:00:00,1.78,0.65,27,1,0,253.11
02/01/2013 20:00:00,1.78,0.65,27,1,0,253.11
02/01/2013 23:00:00,1.78,0.65,27,1,0,253.11
03/01/2013 02:00:00,1.78,0.65,27,1,0,253.11
03/01/2013 05:00:00,1.78,0.65,27,1,0,253.11
03/01/2013 08:00:00,1.78,0.65,27,1,0,253.11
03/01/2013 11:00:00,1.78,0.65,27,1,0,253.11
03/01/2013 14:00:00,1.78,0.65,27,1,0,253.11
03/01/2013 17:00:00,1.78,0.65,27,1,0,253.11
03/01/2013 20:00:00,1.78,0.65,27,1,0,253.11
03/01/2013 23:00:00,1.78,0.65,27,1,0,253.11
04/01/2013 02:00:00,1.78,0.65,27,1,0,253.11
04/01/2013 05:00:00,1.78,0.65,27,1,0,253.11
04/01/2013 08:00:00,1.78,0.65,27,1,0,253.11
04/01/2013 11:00:00,1.78,0.65,27,1,0,253.11
04/01/2013 14:00:00,1.78,0.65,27,1,0,253.11
04/01/2013 17:00:00,1.78,0.65,27,1,0,253.11
04/01/2013 20:00:00,1.78,0.65,27,1,0,253.11
04/01/2013 23:00:00,1.78,0.65,27,1,0,253.11
05/01/2013 02:00:00,1.78,0.65,27,1,0,253.11
05/01/2013 05:00:00,1.78,0.65,27,1,0,253.11
05/01/2013 08:00:00,1.78,0.65,27,1,0,253.11
05/01/2013 11:00:00,1.78,0.65,27,1,0,253.11
05/01/2013 14:00:00,1.78,0.65,27,1,0,253.11
05/01/2013 17:00:00,1.78,0.65,27,1,0,253.11
05/01/2013 20:00:00,1.78,0.65,27,1,0,253.11
