Date           ,       TSS,       DO,       AMM,       NIT,       FRP,       POC,       DOC,       PON,       DON,       POP,       DOP,       GRN,       BGA,       CRYPT,       MDIAT,       DINO,       ZEROS,       ONES 
01/01/2013 00:00, 1.800000 , 221.110446 , 0.142857 , 0.071429 , 0.064516 , 2.266978 , 22.669784 , 0.304330 , 3.043297 , 0.014700 , 0.147000 , 0.030625 , 0.024500 , 0.030625 , 0.254800 , 0.024500 , 0.000000 , 1.000000 
02/01/2013 00:00, 1.800000 , 221.110446 , 0.142857 , 0.071429 , 0.064516 , 2.272761 , 22.727615 , 0.305106 , 3.051061 , 0.014737 , 0.147375 , 0.030703 , 0.024562 , 0.030703 , 0.255450 , 0.024562 , 0.000000 , 1.000000 
03/01/2013 00:00, 1.800000 , 220.780008 , 0.142857 , 0.071429 , 0.064516 , 2.278545 , 22.785446 , 0.305882 , 3.058824 , 0.014775 , 0.147750 , 0.030781 , 0.024625 , 0.030781 , 0.256100 , 0.024625 , 0.000000 , 1.000000 
04/01/2013 00:00, 1.800000 , 220.586452 , 0.142857 , 0.071429 , 0.064516 , 2.284328 , 22.843277 , 0.306659 , 3.066588 , 0.014813 , 0.148125 , 0.030859 , 0.024688 , 0.030859 , 0.256750 , 0.024688 , 0.000000 , 1.000000 
05/01/2013 00:00, 1.800000 , 221.976821 , 0.142857 , 0.071429 , 0.064516 , 2.290111 , 22.901108 , 0.307435 , 3.074351 , 0.014850 , 0.148500 , 0.030938 , 0.024750 , 0.030938 , 0.257400 , 0.024750 , 0.000000 , 1.000000 
06/01/2013 00:00, 1.800000 , 222.015766 , 0.142857 , 0.071429 , 0.064516 , 2.295894 , 22.958939 , 0.308211 , 3.082115 , 0.014887 , 0.148875 , 0.031016 , 0.024812 , 0.031016 , 0.258050 , 0.024812 , 0.000000 , 1.000000 
07/01/2013 00:00, 1.800000 , 221.631270 , 0.142857 , 0.071429 , 0.064516 , 2.301677 , 23.016770 , 0.308988 , 3.089878 , 0.014925 , 0.149250 , 0.031094 , 0.024875 , 0.031094 , 0.258700 , 0.024875 , 0.000000 , 1.000000 
08/01/2013 00:00, 1.800000 , 220.195059 , 0.142857 , 0.071429 , 0.064516 , 2.307460 , 23.074601 , 0.309764 , 3.097642 , 0.014963 , 0.149625 , 0.031172 , 0.024938 , 0.031172 , 0.259350 , 0.024938 , 0.000000 , 1.000000 
09/01/2013 00:00, 1.800000 , 219.105565 , 0.142857 , 0.071429 , 0.064516 , 2.313243 , 23.132432 , 0.310541 , 3.105405 , 0.015000 , 0.150000 , 0.031250 , 0.025000 , 0.031250 , 0.260000 , 0.025000 , 0.000000 , 1.000000 
10/01/2013 00:00, 1.800000 , 219.498423 , 0.142857 , 0.071429 , 0.064516 , 2.297822 , 22.978216 , 0.308470 , 3.084703 , 0.014900 , 0.149000 , 0.031042 , 0.024833 , 0.031042 , 0.258267 , 0.024833 , 0.000000 , 1.000000 
11/01/2013 00:00, 1.800000 , 220.011093 , 0.142857 , 0.071429 , 0.064516 , 2.282400 , 22.824000 , 0.306400 , 3.064000 , 0.014800 , 0.148000 , 0.030833 , 0.024667 , 0.030833 , 0.256533 , 0.024667 , 0.000000 , 1.000000 
12/01/2013 00:00, 1.800000 , 220.762051 , 0.142857 , 0.071429 , 0.064516 , 2.266978 , 22.669784 , 0.304330 , 3.043297 , 0.014700 , 0.147000 , 0.030625 , 0.024500 , 0.030625 , 0.254800 , 0.024500 , 0.000000 , 1.000000 
13/01/2013 00:00, 1.800000 , 221.436708 , 0.142857 , 0.071429 , 0.064516 , 2.251557 , 22.515568 , 0.302259 , 3.022595 , 0.014600 , 0.146000 , 0.030417 , 0.024333 , 0.030417 , 0.253067 , 0.024333 , 0.000000 , 1.000000 
